,countryterritoryCode,country,Covid_Cases,Covid_deaths,Tuberculosis_Cases,%Sanitazion,popData2019
0,AFG,Afghanistan,49273,1971,45818.0,50.5,38041757.0
1,ALB,Albania,48530,1003,240.0,99.3,2862427.0
2,DZA,Algeria,92102,2596,17212.0,85.97,43053054.0
3,AND,Andorra,7338,79,2.0,100.0,76177.0
4,AGO,Angola,16188,371,63147.0,51.66,31825299.0
5,ARM,Armenia,148682,2503,394.0,93.94,2957728.0
6,AUS,Australia,28031,908,1611.0,99.99,25203200.0
7,AUT,Austria,320036,4400,382.0,99.97,8858775.0
8,BHR,Bahrain,89143,348,193.0,100.0,1641164.0
9,BGD,Bangladesh,490533,7052,230081.0,54.16,163046173.0
10,BRB,Barbados,292,7,6.0,98.09,287021.0
11,BLR,Belarus,160295,1263,1514.0,97.9,9452409.0
12,BEL,Belgium,608001,17951,778.0,99.49,11455519.0
13,BLZ,Belize,9295,195,78.0,88.21,390351.0
14,BEN,Benin,3090,44,3908.0,16.96,11801151.0
15,BTN,Bhutan,438,0,911.0,76.51,763094.0
16,BOL,Bolivia (Plurinational State of),147150,9018,6007.0,65.76,11513102.0
17,BWA,Botswana,12501,37,2484.0,80.03,2303703.0
18,BRA,Brazil,6901952,181402,74826.0,90.08,211049519.0
19,BGR,Bulgaria,179449,5688,887.0,86.03,7000039.0
20,BFA,Burkina Faso,4030,71,5691.0,21.66,20321383.0
21,BDI,Burundi,729,1,7105.0,45.73,11530577.0
22,KHM,Cambodia,359,0,29050.0,68.77,16486542.0
23,CMR,Cameroon,25143,443,22056.0,44.63,25876387.0
24,CAN,Canada,460743,13431,1765.0,99.03,37411038.0
25,CPV,Cabo Verde,11357,110,207.0,79.12,549936.0
26,CAF,Central African Republic,4936,63,12610.0,14.12,4745179.0
27,TCD,Chad,1770,102,12809.0,12.06,15946882.0
28,CHL,Chile,571919,15886,2420.0,100.0,18952035.0
29,CHN,China,91994,4739,624715.0,92.38,1433783692.0
30,COL,Colombia,1425774,39053,12088.0,93.68,50339443.0
31,COG,Congo,6049,99,11175.0,20.46,5380504.0
33,CIV,Côte d’Ivoire,21680,133,19717.0,34.57,25716554.0
34,HRV,Croatia,175886,2640,177.0,96.57,4076246.0
35,CUB,Cuba,9423,137,580.0,91.36,11333484.0
36,CYP,Cyprus,15101,78,34.0,99.4,875899.0
37,CZE,Czechia,581079,9609,360.0,99.13,10649800.0
38,COD,Democratic Republic of the Congo,14512,355,200955.0,15.39,86790568.0
39,DNK,Denmark,109758,941,207.0,99.6,5806081.0
40,DJI,Djibouti,5728,61,1701.0,66.72,973557.0
41,DOM,Dominican Republic,154692,2361,2544.0,87.18,10738957.0
42,ECU,Ecuador,202110,13875,5268.0,91.52,17373657.0
43,EGY,Egypt,121575,6920,6982.0,97.33,100388076.0
44,SLV,El Salvador,41880,1205,2042.0,82.45,6453550.0
45,EST,Estonia,18055,149,120.0,99.14,1324820.0
46,SWZ,Eswatini,6768,127,2143.0,64.29,1148133.0
47,ETH,Ethiopia,116769,1806,108193.0,8.91,112078727.0
48,FJI,Fiji,46,2,431.0,99.16,889955.0
49,FIN,Finland,30810,453,174.0,99.45,5517919.0
